Food_Name,Main_Ingredients,Description,Spice_Level,Price_Range
Abacha,"African salad, utazi leaves, oil, fish",Cassava-based salad with spicy fish,Spicy,Affordable
Abacha and Ugba (Regular),"Abacha (Cassava Fufu), Ugba (Oilbean Seeds)",Shredded cassava fufu served with oilbean seeds.,None,Affordable
Abacha and Ugba,"African salad, oil, fish, fermented oil bean seeds (ugba)",Cassava-based salad with spicy fish and fermented oil bean seeds,Spicy,Affordable
Afang Soup (Spicy),"Afang Leaves, Water yam, Seafood","Spicy soup made with afang leaves, water yam, and seafood.",Spicy,Affordable
Afang Soup,"Afang leaves, waterleaf, meat, fish",Nutritious soup made with wild spinach and waterleaf,Mild,Affordable
Afang Soup (Seafood),"Afang leaves, expensive seafood (lobster, prawns), waterleaf","Nutritious soup made with wild spinach, expensive seafood like lobster and prawns, and waterleaf",Mild,Very Expensive
Afia Efere,"Waterleaf, periwinkle, meat, fish",Light soup made with waterleaf and seafood,Mild,Affordable
Agege Bread,"Flour, Yeast, Sugar","Soft, slightly sweet bread with a crispy crust.",None,Affordable
Agege Bread (Large),"Flour, yeast, sugar","Large version of soft, slightly sweet bread with a crispy crust",None,Affordable
Agege Bread (Special),"Flour, yeast, sugar, special palm oil",Special version of Agege bread made with a high-quality palm oil for extra flavor,None,Moderate
Agidi (White),"Maize flour, water","White cornmeal pudding, often served with stews or soups",Mild,Affordable
Akara,"Black-eyed peas, onions, peppers","Fried bean cakes, often served as a breakfast",Mild,Affordable
Amala and Ewedu Soup,"Yam flour, jute leaves, meat, fish",Thick yam-based swallow with jute leaf soup,Mild,Affordable
Ayamase Sauce,"Green peppers, onions, locust beans, spices","Spicy green pepper sauce, often paired with Ofada rice",Spicy,Affordable
Banga Soup (Regular),"Palm Nut Fruit, Seafood",Thick soup made with palm nut fruit and seafood.,Mild,Affordable
Banga Soup ,"Palm fruit extract, meat, fish, spices",Palm fruit soup with assorted meats and fish,Mild,Affordable
Banga Soup (Full),"Palm fruit extract, assorted protein (meat, fish, offal), spices","Full version of Banga soup with a variety of meats, fish, and offal for a richer flavor",Mild,Moderate-Expensive
Banga Soup (Snail),"Palm fruit extract, expensive protein (snail), spices","Palm fruit soup with the addition of snails, a delicacy in some regions",Mild,Moderate-Expensive
Bitterleaf Soup,"Bitterleaf, cocoyam, meat, fish",Soup made from bitterleaf and assorted meats,Mild,Affordable
Blended Ogbono Soup,"Ogbono seeds, meat, fish, vegetables","Thick and rich soup made with ground ogbono seeds, vegetables, and protein",Mild,Affordable
Bole (Plantain) and Fish,"Plantains, Fish",Fried or roasted plantains served with fried fish.,None - Mild,Affordable
Bole (Roasted),Plantains,"Roasted plantains, a simple and delicious street food",None,Affordable
Bole (Special),"Plantains, special palm oil, nuts (peanuts, tiger nuts)",Roasted plantains prepared with high-quality palm oil and a sprinkle of nuts,None,Moderate
Boli,"Plantains, groundnut sauce",Grilled plantains served with spicy peanut sauce,Spicy,Affordable
Bushmeat Stew,"Wild game meat (antelope, grasscutter), vegetables, spices","Stew made with various types of wild game meat, vegetables, and spices",Varies,Expensive
Chin Chin,"Flour, Milk, Sugar",Deep-fried dough bites flavored with nutmeg and cinnamon.,None,Affordable
Chin Chin (Jumbo),"Flour, milk, sugar, chili peppers (large quantity)",Extra-large deep-fried dough bites flavored with chili peppers,Spicy,Moderate
Chin Chin (Plain),"Flour, milk, sugar",Deep-fried dough bites flavored with nutmeg and cinnamon (without chili peppers),None,Affordable
Chin Chin (Spicy),"Flour, milk, sugar, chili peppers",Spicy deep-fried dough bites flavored with chili peppers,Spicy,Affordable
Chinchinga,"Kebabs, vegetables, spices","Grilled skewers, a popular street food",Spicy,Affordable
Coconut Candy,"Coconut flakes, sugar, spices","Sweet candy made with coconut flakes, sugar, and spices",None,Affordable
Coconut Rice (Regular),"Rice, Coconut Milk, Spices",Savory rice dish cooked with coconut milk and spices.,None,Affordable
Coconut Rice,"Rice, coconut milk, vegetables, chicken",Rice cooked with coconut milk and spices,Mild,Affordable
Coconut Rice (Seafood),"Rice, coconut milk, vegetables, expensive seafood (lobster, prawns)","Rice cooked with coconut milk and spices, featuring luxurious seafood options",Mild,Expensive
Edide (Special),"Cocoyam, expensive protein (assorted meats, offal), spices","Special occasion dish made with cocoyam, a variety of meats and offal, and spices",Mild,Very Expensive
Edikaikong Soup,"Cocoyam, Seafood, Peppers","Thick, viscous soup made with cocoyam, seafood, and peppers.",Spicy,Affordable
